species	metabolite	log2FC	SE	time
Lapi	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	0.95725217	0.316779204	t8
Lapi	"D-Gluconic_acid,_6TMS_derivative"	0.937840291	0.444327391	t8
Lapi	"Muco-Inositol,_6TMS_derivative"	1.068749377	0.374139089	t8
Lapi	Unknown_22_95	1.931391557	0.290645084	t8
Lapi	"Glucose,_5TMS_derivative_13C"	1.648661103	0.64015003	t8
Lapi	"Glucose,_5TMS_derivative"	1.411278388	0.632023316	t8
Lapi	"Palmitic_Acid,_TMS_derivative"	1.342547523	0.112182332	t8
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_2"	1.027936792	0.374737621	t8
Lapi	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	3.462606332	0.354672475	t8
Lapi	"Indole-3-lactic_acid,_3TMS_derivative"	6.243702928	1.113958459	t8
Lapi	"L-Tryptophan,_3TMS_derivative"	1.076062787	0.33816095	t8
Lapi	"Oleic_Acid,_(Z)-,_TMS_derivative"	1.536502942	0.184635622	t8
Lapi	Sugar_phosphate_26_68	1.991245879	0.795052573	t8
Lapi	"Stearic_acid,_TMS_derivative"	1.279881359	0.114355628	t8
Lapi	"Tranexamic_acid,_3TMS_derivative"	1.670678991	0.620376252	t8
Lapi	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	1.978636164	0.552563742	t8
Lapi	"Xanthine,_3TMS_derivative"	1.715638693	0.651904391	t8
Lapi	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	1.876398748	1.140665622	t8
Lapi	"Uridine,_3TMS_derivative"	2.358433704	0.330903546	t8
Lapi	"Inosine,_4TMS_derivative"	1.187044359	0.420875103	t8
Lapi	"Sucrose,_8TMS_derivative"	1.121914644	0.330961965	t8
Lapi	"Adenosine,_4TMS_derivative"	0.441255524	0.461669793	t8
Lapi	Unknown_30_30	1.149154688	0.403780556	t8
Lapi	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-1.125630209	2.061497266	t8
Lapi	"Lactose,_8TMS_derivative"	0.485326084	0.256857208	t8
Lapi	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	0.772039511	0.808905675	t8
Lapi	"Guanosine,_5TMS_derivative"	1.449389299	0.453501036	t8
Lapi	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	1.107702113	0.437400907	t8
Lapi	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	1.501342376	0.519215099	t8
Lapi	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	0.947073815	3.32655095	t8
Lapi	"Lactic_Acid,_2TMS_derivative"	3.929914679	0.333242175	t16
Lapi	"L-Alanine,_2TMS_derivative"	0.157313282	0.547884629	t16
Lapi	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	0.064712742	0.169383002	t16
Lapi	"3-Methyl-2-butenoic_acid,_morpholide"	-0.302115602	0.541811343	t16
Lapi	"Silanol,_trimethyl-,_carbonate_(2:1)"	-0.568640747	0.501063336	t16
Lapi	"Pentasiloxane,_dodecamethyl-"	-0.609482832	0.412372117	t16
Lapi	"1,4-Butanediol,_2TMS_derivative"	0.066574199	0.204022041	t16
Lapi	Creatinine	-1.566550464	1.398063993	t16
Lapi	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	0.0267974	0.107240689	t16
Lapi	"L-Valine,_2TMS_derivative"	0.165778826	0.352905308	t16
Lapi	"Ethylphosphonic_acid,_2TMS_derivative"	4.6473494	0.455817161	t16
Lapi	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	4.245816767	0.518872965	t16
Lapi	"Benzoic_Acid,_TMS_derivative"	-0.26230263	0.369068617	t16
Lapi	"L-Isoleucine,_2TMS_derivative"	0.009849208	0.339265222	t16
Lapi	"L-Proline,_2TMS_derivative"	0.09107387	0.520704323	t16
Lapi	"Glycine,_3TMS_derivative"	0.682691295	0.599686927	t16
Lapi	"Butanedioic_acid,_2TMS_derivative"	0.670241758	0.511983234	t16
